,Applicant,Applicant country,Region,Category,Patent Count,Total Citations,Percentage of Total Patents,Average Citation Count,Degree Centrality,Betweenness Centrality,First Year,Last Year,2023 Classification,Duration (Years),Mean Patents/Year
413,Cttq Akeso Shanghai Biomedical Tech Co. Ltd.,China,Asia,Commercial,2.0,3.0,0.06025911419102139,1.5,,,2020.0,2021.0,Terminator,2.0,1.0
414,Cue Biopharma Inc.,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2020.0,2020.0,Transient,1.0,1.0
415,"Cui, Xiangju",,,Individual,2.0,1.0,0.06025911419102139,0.5,,,2018.0,2018.0,Transient,1.0,2.0
416,Curacell Germany Gmbh,Germany,Europe,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2022.0,2022.0,Transient,1.0,1.0
417,Cureab Gmbh,Germany,Europe,Commercial,1.0,1.0,0.030129557095510694,1.0,0.0010090817356205853,0.0,2021.0,2021.0,Transient,1.0,1.0
418,Cureimmune Therapeutics Inc.,United States,North America,Commercial,2.0,0.0,0.06025911419102139,0.0,,,2021.0,2022.0,Terminator,2.0,1.0
419,Curevac Ag,Germany,Europe,Commercial,2.0,0.0,0.06025911419102139,0.0,0.0010090817356205853,0.0,2018.0,2021.0,Terminator,4.0,0.5
420,Curon Biopharmaceutical Shanghai Co. Ltd.,China,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2022.0,2022.0,Transient,1.0,1.0
421,Cynda Biotech Inc.,South Korea,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2021.0,2021.0,Transient,1.0,1.0
422,Cytlimic Inc.,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2020.0,2020.0,Transient,1.0,1.0
423,Cytogen Inc.,United States,North America,Commercial,1.0,1.0,0.030129557095510694,1.0,,,2022.0,2022.0,Transient,1.0,1.0
424,Cytoimmune Therapeutics Inc.,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2019.0,2019.0,Transient,1.0,1.0
425,Cytomx Therapeutics Inc.,United States,North America,Commercial,4.0,1.0,0.12051822838204278,0.25,0.0010090817356205853,0.0,2017.0,2022.0,Terminator,6.0,0.6666666666666666
426,Cytosorbent Corporation,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2021.0,2021.0,Transient,1.0,1.0
427,Cytovation As,Norway,Europe,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2019.0,2019.0,Transient,1.0,1.0
428,D2G Oncology Inc.,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2023.0,2023.0,Newcomer,1.0,1.0
429,Daegu Gyeongbuk Institute Of Science & Technology,South Korea,Asia,Academic,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2022.0,2022.0,Transient,1.0,1.0
430,Dai Chengliang,,,Individual,1.0,6.0,0.030129557095510694,6.0,0.0030272452068617556,0.0,2017.0,2017.0,Transient,1.0,1.0
431,Daiichi Sankyo Co. Ltd.,Japan,Asia,Commercial,5.0,3.0,0.15064778547755348,0.6,0.0010090817356205853,0.0,2017.0,2023.0,Continuant,7.0,0.7142857142857143
432,Dakang Xu,,,Individual,1.0,0.0,0.030129557095510694,0.0,,,2021.0,2021.0,Transient,1.0,1.0
433,"Dalian Institute Of Chemical Physics, Chinese Academy Of Sciences",China,Asia,Academic,1.0,0.0,0.030129557095510694,0.0,,,2017.0,2017.0,Transient,1.0,1.0
434,Dalian Wanchunbulin Pharmaceutical Co. Ltd.,China,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2021.0,2021.0,Transient,1.0,1.0
435,Dana-Farber Cancer Institute Inc.,United States,North America,Commercial,32.0,838.0,0.9641458270563422,26.1875,0.026236125126135216,0.026609859102290998,2000.0,2023.0,Continuant,24.0,1.3333333333333333
436,Dansey Roger Delemere,,,Individual,1.0,1.0,0.030129557095510694,1.0,0.008072653884964682,0.0,2020.0,2020.0,Transient,1.0,1.0
437,Dansheng Medical Tech Shanghai Co. Ltd.,China,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2021.0,2021.0,Transient,1.0,1.0
438,Dara Farberg Cancer Research Company,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,0.0020181634712411706,0.0,2016.0,2016.0,Transient,1.0,1.0
439,Dartsbio Pharmaceuticals Ltd,United States,North America,Commercial,1.0,1.0,0.030129557095510694,1.0,0.0020181634712411706,0.0,2021.0,2021.0,Transient,1.0,1.0
440,"Das, Tapan, Kanti",,,Individual,1.0,0.0,0.030129557095510694,0.0,0.006054490413723511,0.0,2006.0,2006.0,Transient,1.0,1.0
441,Davis Elliot,,,Individual,1.0,1.0,0.030129557095510694,1.0,,,2020.0,2020.0,Transient,1.0,1.0
442,De Miranda Silva Carolina,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.007063572149344097,0.0,2022.0,2022.0,Transient,1.0,1.0
443,Debiopharm International Sa,Switzerland,Europe,Commercial,5.0,0.0,0.15064778547755348,0.0,0.0020181634712411706,0.0,2018.0,2020.0,Terminator,3.0,1.6666666666666667
444,Definiens Ag,Germany,Europe,Commercial,1.0,4.0,0.030129557095510694,4.0,0.0010090817356205853,0.0,2017.0,2017.0,Transient,1.0,1.0
445,Deli Wei Beijing Biological Technology Co Ltd,China,Asia,Commercial,1.0,1.0,0.030129557095510694,1.0,,,2020.0,2020.0,Transient,1.0,1.0
446,Demetri George D,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.0030272452068617556,0.0,2007.0,2007.0,Transient,1.0,1.0
447,Deng Sujun,,,Individual,,,,,,,,,Deng Sujun,,
448,"Deng, Xiangliang",,,Individual,1.0,0.0,0.030129557095510694,0.0,0.007063572149344097,0.0,2021.0,2021.0,Transient,1.0,1.0
449,Desjardins Genevieve,,,Individual,1.0,6.0,0.030129557095510694,6.0,0.008072653884964682,0.0,2018.0,2018.0,Transient,1.0,1.0
450,Deutsches Krebsforschungszentrum (German Cancer Research Center),Germany,Europe,Academic,3.0,2.0,0.0903886712865321,0.6666666666666666,0.0010090817356205853,0.0,2017.0,2021.0,Terminator,5.0,0.6
451,Dev Ct Biotechnology,China,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2019.0,2019.0,Transient,1.0,1.0
452,Dicerna Pharmaceuticals Inc.,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2023.0,2023.0,Newcomer,1.0,1.0
453,Dignity Health,United States,North America,Academic,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2015.0,2015.0,Transient,1.0,1.0
454,Ding Liya,,,Individual,1.0,5.0,0.030129557095510694,5.0,0.004036326942482341,0.0,2018.0,2018.0,Transient,1.0,1.0
455,Dingfu Biotarget Co. Ltd.,China,Asia,Commercial,3.0,52.0,0.0903886712865321,17.333333333333332,0.0010090817356205853,0.0,2014.0,2021.0,Terminator,8.0,0.375
456,Distributed Bio Inc.,United States,North America,Commercial,1.0,2.0,0.030129557095510694,2.0,0.0020181634712411706,0.0,2018.0,2018.0,Transient,1.0,1.0
457,Ditesan Ltd,Turkey,Europe,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2019.0,2019.0,Transient,1.0,1.0
458,Dna Chip Research Inc.,South Korea,Asia,Commercial,1.0,2.0,0.030129557095510694,2.0,0.0020181634712411706,0.0,2016.0,2016.0,Transient,1.0,1.0
459,Dong Zhiwan,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.006054490413723511,0.0,2023.0,2023.0,Newcomer,1.0,1.0
460,Dongda Biotechnology Suzhou Co. Ltd.,China,Asia,Commercial,2.0,2.0,0.06025911419102139,1.0,,,2019.0,2021.0,Terminator,3.0,0.6666666666666666
461,Dongfang Hepatobiliary Hospital Affiliated To The Second Military Medical University,China,Asia,Academic,1.0,13.0,0.030129557095510694,13.0,,,2017.0,2017.0,Transient,1.0,1.0
462,Dr. Reddy'S Laboratories Ltd,India,Asia,Commercial,4.0,0.0,0.12051822838204278,0.0,,,2022.0,2022.0,Transient,1.0,4.0
463,Dracen Pharmaceuticals Inc.,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2020.0,2020.0,Transient,1.0,1.0
464,Dragonfly Therapeutics Inc,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2023.0,2023.0,Newcomer,1.0,1.0
465,"Dranoff, Glenn",,,Individual,1.0,15.0,0.030129557095510694,15.0,0.016145307769929364,0.0,2018.0,2018.0,Transient,1.0,1.0
466,Duke University,United States,North America,Academic,14.0,31.0,0.42181379933714974,2.2142857142857144,0.0020181634712411706,0.0008296894270658147,2016.0,2022.0,Terminator,7.0,2.0
467,Dynavax Technologies Corporation,United States,North America,Commercial,1.0,1.0,0.030129557095510694,1.0,0.0020181634712411706,0.0,2019.0,2019.0,Transient,1.0,1.0
468,"E. R. Squibb & Sons, L. L. C.",United States,North America,Commercial,,,,,,,,,"E. R. Squibb & Sons, L. L. C.",,
469,Ecole Polytechnique Federale De Lausanne (Epfl),Switzerland,Europe,Academic,1.0,0.0,0.030129557095510694,0.0,,,2020.0,2020.0,Transient,1.0,1.0
470,Ecs Progastrin Sa,Switzerland,Europe,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2019.0,2019.0,Transient,1.0,1.0
471,Efranat Ltd,Israel,Asia,Commercial,1.0,4.0,0.030129557095510694,4.0,,,2016.0,2016.0,Transient,1.0,1.0
472,"Eisai R&D Management Co., Ltd.",Japan,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2016.0,2016.0,Transient,1.0,1.0
473,Eisai Research & Development Man Co. Ltd.,Japan,Asia,Commercial,2.0,17.0,0.06025911419102139,8.5,0.0020181634712411706,0.0008296894270658147,2016.0,2016.0,Transient,1.0,2.0
474,Eli Lilly And Company,United States,North America,Commercial,9.0,12.0,0.27116601385959627,1.3333333333333333,0.0030272452068617556,0.011244636068046765,2017.0,2023.0,Continuant,7.0,1.2857142857142858
475,Elixiron Immunotherapeutics Hong Kong Ltd,China,Asia,Commercial,2.0,0.0,0.06025911419102139,0.0,0.0010090817356205853,0.0,2021.0,2022.0,Terminator,2.0,1.0
476,Elizabeth Epps,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.0030272452068617556,0.0,2020.0,2020.0,Transient,1.0,1.0
477,"Elliott, Carrie, Marie",,,Individual,1.0,0.0,0.030129557095510694,0.0,0.006054490413723511,0.0,2006.0,2006.0,Transient,1.0,1.0
478,Elpis Biopharmaceuticals,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2022.0,2022.0,Transient,1.0,1.0
479,Emc Corp,United States,North America,Commercial,1.0,3.0,0.030129557095510694,3.0,0.0010090817356205853,0.0,2014.0,2014.0,Transient,1.0,1.0
480,Emc Ip Holding Co. Llc,United States,North America,Commercial,1.0,3.0,0.030129557095510694,3.0,0.0010090817356205853,0.0,2014.0,2014.0,Transient,1.0,1.0
481,Emory University,United States,North America,Academic,9.0,392.0,0.27116601385959627,43.55555555555556,0.011099899091826439,0.04456607786577514,2006.0,2022.0,Terminator,17.0,0.5294117647058824
482,Enb Therapeutics Inc,United States,North America,Commercial,3.0,5.0,0.0903886712865321,1.6666666666666667,,,2016.0,2020.0,Terminator,5.0,0.6
483,Endocyte Inc.,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2021.0,2021.0,Transient,1.0,1.0
484,Engelhardt Benjamin,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.004036326942482341,0.0,2023.0,2023.0,Newcomer,1.0,1.0
485,Enlivex Therapeutics Rdo Ltd.,Israel,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2023.0,2023.0,Newcomer,1.0,1.0
486,Ensemble Group Holdings,United States,North America,Commercial,2.0,0.0,0.06025911419102139,0.0,,,2017.0,2020.0,Terminator,4.0,0.5
487,Enzychem Lifesciences Corp.,South Korea,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2020.0,2020.0,Transient,1.0,1.0
488,Epiaxis Therapeutics Pty Ltd.,Australia,Europe,Commercial,2.0,0.0,0.06025911419102139,0.0,,,2017.0,2022.0,Terminator,6.0,0.3333333333333333
489,Epizyme Inc.,United States,North America,Commercial,2.0,3.0,0.06025911419102139,1.5,,,2017.0,2018.0,Terminator,2.0,1.0
490,Erasmus Medical Center Rotterdam,Netherlands,Europe,Academic,1.0,2.0,0.030129557095510694,2.0,,,2017.0,2017.0,Transient,1.0,1.0
491,Ergenomics Inc.,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2022.0,2022.0,Transient,1.0,1.0
492,Eric Paulson,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2019.0,2019.0,Transient,1.0,1.0
493,Erland Zensen Scientific Company,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2020.0,2020.0,Transient,1.0,1.0
494,Erlich Ziv,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.018163471241170535,0.0,2023.0,2023.0,Newcomer,1.0,1.0
495,Etablissement Francais Du Sang Efs,France,Europe,Academic,1.0,0.0,0.030129557095510694,0.0,0.0030272452068617556,0.0,2020.0,2020.0,Transient,1.0,1.0
496,Eth Zurich,Switzerland,Europe,Academic,1.0,0.0,0.030129557095510694,0.0,0.0030272452068617556,0.0,2020.0,2020.0,Transient,1.0,1.0
497,Etherna Immunotherapies Nv,Belgium,Europe,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2020.0,2020.0,Transient,1.0,1.0
498,Etubics Corporation,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,0.0020181634712411706,0.0,2020.0,2020.0,Transient,1.0,1.0
499,Euclises Pharmaceuticals Inc.,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2017.0,2017.0,Transient,1.0,1.0
500,Eucure Beijing Biopharma Co. Ltd.,China,Asia,Commercial,3.0,0.0,0.0903886712865321,0.0,,,2020.0,2021.0,Terminator,2.0,1.5
501,Eugene D Kwon,,,Individual,1.0,15.0,0.030129557095510694,15.0,0.005045408678102927,0.0,2014.0,2014.0,Transient,1.0,1.0
502,Eureka Therapeutics Inc.,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2017.0,2017.0,Transient,1.0,1.0
503,Eutilex Co. Ltd.,South Korea,Asia,Commercial,2.0,0.0,0.06025911419102139,0.0,,,2021.0,2022.0,Terminator,2.0,1.0
504,Evaxion Biotech As,Denmark,Europe,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2022.0,2022.0,Transient,1.0,1.0
505,Everimmune,Taiwan,Asia,Commercial,2.0,0.0,0.06025911419102139,0.0,0.0030272452068617556,0.0,2022.0,2022.0,Transient,1.0,2.0
506,Exeliom Biosciences,France,Europe,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2022.0,2022.0,Transient,1.0,1.0
507,Exelixis Inc.,United States,North America,Commercial,3.0,0.0,0.0903886712865321,0.0,,,2018.0,2021.0,Terminator,4.0,0.75
508,Exicure Operating Company,United States,North America,Commercial,2.0,1.0,0.06025911419102139,0.5,,,2020.0,2021.0,Terminator,2.0,1.0
509,Fang Shubin,,,Individual,1.0,1.0,0.030129557095510694,1.0,,,2020.0,2020.0,Transient,1.0,1.0
510,"Faris, Jason",,,Individual,1.0,15.0,0.030129557095510694,15.0,0.016145307769929364,0.0,2018.0,2018.0,Transient,1.0,1.0
511,Faron Pharmaceuticals Oy,Finland,Europe,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2019.0,2019.0,Transient,1.0,1.0
512,Fate Therapeutics Inc,United States,North America,Commercial,24.0,20.0,0.7231093702922567,0.8333333333333334,,,2018.0,2023.0,Continuant,6.0,4.0
513,Fayadat Dilman Laurence,,,Individual,3.0,10.0,0.0903886712865321,3.3333333333333335,0.009081735620585268,4.077097921699335e-06,2018.0,2020.0,Terminator,3.0,1.0
514,"Federal State Budgetary Scientific Institution ""Russian Scientific Center Of Radiology And Surgical Technologies""",Russia,Europe,Academic,1.0,0.0,0.030129557095510694,0.0,,,2019.0,2019.0,Transient,1.0,1.0
515,"Federal State Budgetary Scientific Institution ""Tomsk National Research Medical Center""",Russia,Europe,Academic,1.0,0.0,0.030129557095510694,0.0,,,2020.0,2020.0,Transient,1.0,1.0
516,Federalnoe Gosudarstvennoe Byudzhetnoe Uchrezhdenie Natsionalnyj Meditsinskij Issledovatelskij Tsentr,Russia,Europe,Governmental,1.0,0.0,0.030129557095510694,0.0,,,2021.0,2021.0,Transient,1.0,1.0
517,Felder Mitchell S,,,Individual,1.0,1.0,0.030129557095510694,1.0,0.0020181634712411706,0.0,2015.0,2015.0,Transient,1.0,1.0
518,Fifet Treat Company,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2020.0,2020.0,Transient,1.0,1.0
519,Finlay William James Jonathan,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.0020181634712411706,0.0,2023.0,2023.0,Newcomer,1.0,1.0
520,First Affiliated Hospital Of Anhui Medical University,China,Asia,Academic,3.0,2.0,0.0903886712865321,0.6666666666666666,,,2020.0,2023.0,Continuant,4.0,0.75
521,First Affiliated Hospital Of Chongqing Medical University,China,Asia,Academic,1.0,0.0,0.030129557095510694,0.0,,,2022.0,2022.0,Transient,1.0,1.0
522,First Affiliated Hospital Of Guangxi Medical University,China,Asia,Academic,1.0,0.0,0.030129557095510694,0.0,,,2020.0,2020.0,Transient,1.0,1.0
523,"First Affiliated Hospital, Medical College Of Xian Jiaotong University",China,Asia,Academic,1.0,0.0,0.030129557095510694,0.0,,,2021.0,2021.0,Transient,1.0,1.0
524,"First Affiliated Hospital, Soochow University",China,Asia,Academic,1.0,3.0,0.030129557095510694,3.0,,,2021.0,2021.0,Transient,1.0,1.0
525,"First Affiliated Hospital, Sun Yat-Sen University",China,Asia,Academic,1.0,1.0,0.030129557095510694,1.0,,,2018.0,2018.0,Transient,1.0,1.0
526,First Auxiliary Hospital Of Chinese People'S Liberation Army Military Medical University,China,Asia,Academic,1.0,1.0,0.030129557095510694,1.0,,,2022.0,2022.0,Transient,1.0,1.0
527,First Auxiliary Hospital Of Zhengzhou University,China,Asia,Academic,1.0,0.0,0.030129557095510694,0.0,,,2022.0,2022.0,Transient,1.0,1.0
528,First Tractor Co Ltd,China,Asia,Commercial,1.0,3.0,0.030129557095510694,3.0,,,2013.0,2013.0,Transient,1.0,1.0
529,First Wave Bio Inc.,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2021.0,2021.0,Transient,1.0,1.0
530,Fischkoff Steven,,,Individual,1.0,33.0,0.030129557095510694,33.0,0.005045408678102927,0.0,2006.0,2006.0,Transient,1.0,1.0
531,Five Prime Therapeutics Inc.,United States,North America,Commercial,5.0,4.0,0.15064778547755348,0.8,0.0010090817356205853,0.0,2016.0,2023.0,Continuant,8.0,0.625
532,Fond Imagine,France,Europe,Academic,1.0,0.0,0.030129557095510694,0.0,0.005045408678102927,0.0,2020.0,2020.0,Transient,1.0,1.0
533,Fondazione Per L'Istituto Oncologico Di Ricerca Ior,Italy,Europe,Academic,1.0,0.0,0.030129557095510694,0.0,,,2022.0,2022.0,Transient,1.0,1.0
534,Fondazione Telethon,Italy,Europe,Commercial,1.0,1.0,0.030129557095510694,1.0,0.0010090817356205853,0.0,2018.0,2018.0,Transient,1.0,1.0
535,Forevertek Biotechnology Co. Ltd.,China,Asia,Commercial,2.0,4.0,0.06025911419102139,2.0,0.0010090817356205853,0.0,2020.0,2021.0,Terminator,2.0,1.0
536,Forrest Jr. William P,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.0030272452068617556,0.0,2019.0,2019.0,Transient,1.0,1.0
537,Fortunerock China Co. Ltd.,China,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,0.0020181634712411706,0.0,2021.0,2021.0,Transient,1.0,1.0
538,Forty Seven Inc.,United States,North America,Commercial,1.0,8.0,0.030129557095510694,8.0,,,2018.0,2018.0,Transient,1.0,1.0
539,Foshan Canton Biotechnology Co. Ltd.,China,Asia,Commercial,2.0,2.0,0.06025911419102139,1.0,0.0010090817356205853,0.0,2020.0,2020.0,Transient,1.0,2.0
540,Foshan Chancheng Qizhi Intelligent Tech Co. Ltd.,China,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2018.0,2018.0,Transient,1.0,1.0
541,Foster Donald C,,,Individual,1.0,2.0,0.030129557095510694,2.0,0.008072653884964682,0.0,2005.0,2005.0,Transient,1.0,1.0
542,Found Medicine Inc.,United States,North America,Commercial,3.0,0.0,0.0903886712865321,0.0,,,2022.0,2023.0,Continuant,2.0,1.5
543,Foundation For Biomedical Research And Innovation At Kobe,Japan,Asia,Academic,2.0,2.0,0.06025911419102139,1.0,0.0030272452068617556,0.00165530175620993,2017.0,2019.0,Terminator,3.0,0.6666666666666666
544,Foundation Medicine Inc.,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2018.0,2018.0,Transient,1.0,1.0
545,Francia Giulio,,,Individual,1.0,1.0,0.030129557095510694,1.0,0.0020181634712411706,0.0,2015.0,2015.0,Transient,1.0,1.0
546,Francis Crick Inst.,United Kingdom,Europe,Academic,1.0,1.0,0.030129557095510694,1.0,0.0010090817356205853,0.0,2022.0,2022.0,Transient,1.0,1.0
547,Fred Hutchinson Cancer Research Center,United States,North America,Academic,5.0,9.0,0.15064778547755348,1.8,0.0030272452068617556,0.0016573403051707797,2019.0,2021.0,Terminator,3.0,1.6666666666666667
548,Fred Hyde,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2022.0,2022.0,Transient,1.0,1.0
549,Freedman Matthew,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.0030272452068617556,0.0,2021.0,2021.0,Transient,1.0,1.0
550,Freeman Gordon J,,,Individual,3.0,372.0,0.0903886712865321,124.0,0.008072653884964682,0.00036252195687109915,2009.0,2021.0,Terminator,13.0,0.23076923076923078
551,Fridman Kfir Tal,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.018163471241170535,0.0,2023.0,2023.0,Newcomer,1.0,1.0
552,Friedrich Graf Von Finckenstein,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.0030272452068617556,0.0,2023.0,2023.0,Newcomer,1.0,1.0
553,Fudan University,China,Asia,Academic,9.0,23.0,0.27116601385959627,2.5555555555555554,,,2014.0,2021.0,Terminator,8.0,1.125
554,"Fujian Cancer Hospital, Fujian Cancer Research Institute, Fujian Cancer Prevention And Control Center",China,Asia,Academic,1.0,1.0,0.030129557095510694,1.0,0.0010090817356205853,0.0,2022.0,2022.0,Transient,1.0,1.0
555,Fujifilm Corp.,Japan,Asia,Commercial,2.0,0.0,0.06025911419102139,0.0,,,2019.0,2023.0,Continuant,5.0,0.4
556,Fukang Shanghai Health Tech Co. Ltd.,China,Asia,Commercial,2.0,3.0,0.06025911419102139,1.5,,,2020.0,2021.0,Terminator,2.0,1.0
557,Fundacio Institut Hospital Del Mar D'Investigacions Mediques Imim,Spain,Europe,Academic,1.0,0.0,0.030129557095510694,0.0,,,2020.0,2020.0,Transient,1.0,1.0
558,Fundacion Para La Investigacion Medica Aplicada,Spain,Europe,Academic,1.0,1.0,0.030129557095510694,1.0,0.0020181634712411706,0.0,2019.0,2019.0,Transient,1.0,1.0
559,Fusion Pharmaceuticals Inc.,Canada,North America,Commercial,5.0,0.0,0.15064778547755348,0.0,,,2019.0,2023.0,Continuant,5.0,1.0
560,Fuso Pharmaceutical Industries Ltd.,Japan,Asia,Commercial,3.0,1.0,0.0903886712865321,0.3333333333333333,0.0020181634712411706,2.0385489608496674e-06,2017.0,2017.0,Transient,1.0,3.0
561,Future Medicine Co. Ltd.,South Korea,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2023.0,2023.0,Newcomer,1.0,1.0
562,Futuregen Biopharmaceutical Beijing Co. Ltd.,China,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2023.0,2023.0,Newcomer,1.0,1.0
563,Fuzhou Maixin Biotechnology Development Co. Ltd.,China,Asia,Commercial,2.0,4.0,0.06025911419102139,2.0,,,2018.0,2020.0,Terminator,3.0,0.6666666666666666
564,G Flas Life Sciences,United States,North America,Commercial,1.0,1.0,0.030129557095510694,1.0,,,2020.0,2020.0,Transient,1.0,1.0
565,G1 Therapeutics Inc.,United States,North America,Commercial,4.0,43.0,0.12051822838204278,10.75,,,2015.0,2022.0,Terminator,8.0,0.5
566,Galera Labs Llc,United States,North America,Commercial,1.0,2.0,0.030129557095510694,2.0,,,2018.0,2018.0,Transient,1.0,1.0
567,Galperin Moran,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.018163471241170535,0.0,2023.0,2023.0,Newcomer,1.0,1.0
568,Garaci Enrico,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2020.0,2020.0,Transient,1.0,1.0
569,Garcia Andres J,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.005045408678102927,0.0,2021.0,2021.0,Transient,1.0,1.0
570,Gb006 Inc,China,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2020.0,2020.0,Transient,1.0,1.0
571,Gegenbauer Kristina,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.0020181634712411706,0.0,2023.0,2023.0,Newcomer,1.0,1.0
572,Geistlich Pharma Ag,Switzerland,Europe,Commercial,1.0,5.0,0.030129557095510694,5.0,,,2017.0,2017.0,Transient,1.0,1.0
573,Gelan Schke Intellectual Property 4 Ltd. Company,South Korea,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2020.0,2020.0,Transient,1.0,1.0
574,Gempharmatech Co. Ltd.,China,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2020.0,2020.0,Transient,1.0,1.0
575,Genecast Beijing Biotechnology Co. Ltd.,China,Asia,Commercial,2.0,5.0,0.06025911419102139,2.5,0.0010090817356205853,0.0,2019.0,2021.0,Terminator,3.0,0.6666666666666666
576,Genemedicine Co. Ltd.,China,Asia,Commercial,2.0,2.0,0.06025911419102139,1.0,,,2020.0,2021.0,Terminator,2.0,1.0
577,Genentech Inc.,United States,North America,Commercial,49.0,45.0,1.4763482976800242,0.9183673469387755,0.010090817356205853,0.025559666629293275,2013.0,2023.0,Continuant,11.0,4.454545454545454
578,Genequantum Healthcare Suzhou Co Ltd,China,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2022.0,2022.0,Transient,1.0,1.0
579,General Incorporated Association Pharma Valley Project Supporting Organization,Japan,Asia,Commercial,2.0,0.0,0.06025911419102139,0.0,0.0020181634712411706,4.077097921699335e-06,2020.0,2022.0,Terminator,3.0,0.6666666666666666
580,Genesail Biotech Shanghai Co. Ltd.,China,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2019.0,2019.0,Transient,1.0,1.0
581,Genetics Institute Llc,United States,North America,Commercial,1.0,14.0,0.030129557095510694,14.0,0.0010090817356205853,0.0,2000.0,2000.0,Transient,1.0,1.0
582,Genexine Inc.,South Korea,Asia,Commercial,6.0,0.0,0.1807773425730642,0.0,0.0020181634712411706,0.0008296894270658147,2019.0,2022.0,Terminator,4.0,1.5
583,Geninus Inc.,South Korea,Asia,Commercial,2.0,0.0,0.06025911419102139,0.0,0.0010090817356205853,0.0,2019.0,2022.0,Terminator,4.0,0.5
584,Genmab As,Denmark,Europe,Commercial,7.0,4.0,0.21090689966857487,0.5714285714285714,0.0020181634712411706,0.0,2019.0,2023.0,Continuant,5.0,1.4
