,Inventor,Patent Count,Total Citations,Percentage of Total Patents,Average Citation Count,Degree Centrality,Betweenness Centrality,First Year,Last Year,2023 Classification,Duration (Years),Mean Patents/Year
2660,Ho Weihsien,1.0,0.0,0.03013863773357444,0.0,0.0005506001541680432,0.0,2019.0,2019.0,Transient,1.0,1.0
2661,Ho William,1.0,0.0,0.03013863773357444,0.0,0.00011012003083360864,0.0,2017.0,2017.0,Transient,1.0,1.0
2662,Hoang Tien,2.0,1.0,0.06027727546714888,0.5,0.0011012003083360864,1.6170342266315515e-08,2020.0,2020.0,Transient,1.0,2.0
2663,Hoch Ute,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2018.0,2018.0,Transient,1.0,1.0
2664,Hodges Doug,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2023.0,2023.0,Newcomer,1.0,1.0
2665,Hodi Frank Stephen,1.0,0.0,0.03013863773357444,0.0,0.00011012003083360864,0.0,2018.0,2018.0,Transient,1.0,1.0
2666,Hoen Helena Maria,1.0,9.0,0.03013863773357444,9.0,0.00033036009250082593,0.0,2016.0,2016.0,Transient,1.0,1.0
2667,Hoey Robert J,1.0,0.0,0.03013863773357444,0.0,0.0005506001541680432,0.0,2023.0,2023.0,Newcomer,1.0,1.0
2668,Hoffmaster Keith,1.0,15.0,0.03013863773357444,15.0,0.0016518004625041295,0.0,2018.0,2018.0,Transient,1.0,1.0
2669,Hofman Paul,1.0,0.0,0.03013863773357444,0.0,0.0005506001541680432,0.0,2021.0,2021.0,Transient,1.0,1.0
2670,Hofmeister Robert,1.0,2.0,0.03013863773357444,2.0,0.0008809602466688691,0.0,2021.0,2021.0,Transient,1.0,1.0
2671,Hoge Stephen G,1.0,5.0,0.03013863773357444,5.0,0.0007708402158352604,0.0,2019.0,2019.0,Transient,1.0,1.0
2672,Hohl Raymond,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2019.0,2019.0,Transient,1.0,1.0
2673,Hojo Kanji,1.0,0.0,0.03013863773357444,0.0,0.001211320339169695,0.0,2018.0,2018.0,Transient,1.0,1.0
2674,Holbrook E K Kohrt,1.0,0.0,0.03013863773357444,0.0,0.00044048012333443455,0.0,2020.0,2020.0,Transient,1.0,1.0
2675,Holbrook Kohrt,2.0,6.0,0.06027727546714888,3.0,0.0008809602466688691,8.489429689815644e-07,2015.0,2016.0,Terminator,2.0,1.0
2676,Holder Patrick,1.0,0.0,0.03013863773357444,0.0,0.0009910802775024777,0.0,2020.0,2020.0,Transient,1.0,1.0
2677,Holder Peter,1.0,0.0,0.03013863773357444,0.0,0.0009910802775024777,0.0,2020.0,2020.0,Transient,1.0,1.0
2678,Holgate Robert,2.0,0.0,0.06027727546714888,0.0,0.00033036009250082593,1.2127756699736634e-08,2021.0,2021.0,Transient,1.0,2.0
2679,Holgate Robert George Edward,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2012.0,2012.0,Transient,1.0,1.0
2680,Holland Peter,1.0,1.0,0.03013863773357444,1.0,0.00044048012333443455,0.0,2018.0,2018.0,Transient,1.0,1.0
2681,Hollie Jaine Jackson,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2017.0,2017.0,Transient,1.0,1.0
2682,Hollingsworth Robert,1.0,0.0,0.03013863773357444,0.0,0.0022024006166721727,0.0,2022.0,2022.0,Transient,1.0,1.0
2683,Hollingsworth Robert E,1.0,25.0,0.03013863773357444,25.0,0.00011012003083360864,0.0,2015.0,2015.0,Transient,1.0,1.0
2684,Hollingsworth Simon,1.0,21.0,0.03013863773357444,21.0,0.00011012003083360864,0.0,2015.0,2015.0,Transient,1.0,1.0
2685,Hollmen Maija-Leena,1.0,0.0,0.03013863773357444,0.0,0.00011012003083360864,0.0,2019.0,2019.0,Transient,1.0,1.0
2686,Holly Richard D,1.0,2.0,0.03013863773357444,2.0,0.0007708402158352604,0.0,2005.0,2005.0,Transient,1.0,1.0
2687,Holmes Rosalind,1.0,0.0,0.03013863773357444,0.0,0.00011012003083360864,0.0,2022.0,2022.0,Transient,1.0,1.0
2688,Holmes Steve,1.0,0.0,0.03013863773357444,0.0,,,2020.0,2020.0,Transient,1.0,1.0
2689,Holmgaard Rikke Baek,1.0,0.0,0.03013863773357444,0.0,0.0009910802775024777,0.0,2021.0,2021.0,Transient,1.0,1.0
2690,Holmkvist Petra,1.0,0.0,0.03013863773357444,0.0,0.0006607201850016519,0.0,2019.0,2019.0,Transient,1.0,1.0
2691,Holson Edward,1.0,0.0,0.03013863773357444,0.0,0.00011012003083360864,0.0,2019.0,2019.0,Transient,1.0,1.0
2692,Holst Peter Johannes,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2020.0,2020.0,Transient,1.0,1.0
2693,Holstein Melissa Ann,1.0,0.0,0.03013863773357444,0.0,0.0007708402158352604,0.0,2022.0,2022.0,Transient,1.0,1.0
2694,Honda Atsushi,2.0,0.0,0.06027727546714888,0.0,0.0009910802775024777,0.0,2019.0,2020.0,Terminator,2.0,1.0
2695,Hong An,1.0,7.0,0.03013863773357444,7.0,0.0006607201850016519,0.0,2018.0,2018.0,Transient,1.0,1.0
2696,Hong Celestine,1.0,0.0,0.03013863773357444,0.0,0.0005506001541680432,0.0,2023.0,2023.0,Newcomer,1.0,1.0
2697,Hong Chang,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2023.0,2023.0,Newcomer,1.0,1.0
2698,Hong Dan,2.0,0.0,0.06027727546714888,0.0,0.00033036009250082593,0.0,2020.0,2020.0,Transient,1.0,2.0
2699,Hong Dong Ho,1.0,1.0,0.03013863773357444,1.0,0.00022024006166721728,0.0,2020.0,2020.0,Transient,1.0,1.0
2700,Hong Eun Be,1.0,0.0,0.03013863773357444,0.0,0.0006607201850016519,0.0,2023.0,2023.0,Newcomer,1.0,1.0
2701,Hong Huoyan,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2020.0,2020.0,Transient,1.0,1.0
2702,Hong Ja Hye,2.0,0.0,0.06027727546714888,0.0,0.0005506001541680432,0.0,2020.0,2021.0,Terminator,2.0,1.0
2703,Hong Jae Jeon,4.0,1.0,0.12055455093429776,0.25,0.001211320339169695,6.306433483863049e-07,2020.0,2023.0,Continuant,4.0,1.0
2704,Hong Jeong,1.0,0.0,0.03013863773357444,0.0,0.0005506001541680432,0.0,2021.0,2021.0,Transient,1.0,1.0
2705,Hong Ji Ae,1.0,0.0,0.03013863773357444,0.0,0.0009910802775024777,0.0,2021.0,2021.0,Transient,1.0,1.0
2706,Hong Juan,1.0,0.0,0.03013863773357444,0.0,0.0007708402158352604,0.0,2021.0,2021.0,Transient,1.0,1.0
2707,Hong Jun-Ki,1.0,0.0,0.03013863773357444,0.0,0.0005506001541680432,0.0,2023.0,2023.0,Newcomer,1.0,1.0
2708,Hong Kyeong Hee,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2022.0,2022.0,Transient,1.0,1.0
2709,Hong Seungpyo,1.0,2.0,0.03013863773357444,2.0,0.00011012003083360864,0.0,2019.0,2019.0,Transient,1.0,1.0
2710,Hong Shengyan,3.0,9.0,0.09041591320072333,3.0,0.002753000770840216,0.00022466827301955027,2014.0,2015.0,Terminator,2.0,1.5
2711,Hong Weidong,4.0,54.0,0.12055455093429776,13.5,0.0013214403700033037,3.2340684532631016e-08,2015.0,2020.0,Terminator,6.0,0.6666666666666666
2712,Hong Yeol Yoon,2.0,1.0,0.06027727546714888,0.5,0.0006607201850016519,3.234068453263102e-08,2020.0,2021.0,Terminator,2.0,1.0
2713,Hong Yeongjin,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2022.0,2022.0,Transient,1.0,1.0
2714,Hong Yidong,1.0,0.0,0.03013863773357444,0.0,0.0005506001541680432,0.0,2022.0,2022.0,Transient,1.0,1.0
2715,Hong Yifeng,1.0,1.0,0.03013863773357444,1.0,0.0009910802775024777,0.0,2021.0,2021.0,Transient,1.0,1.0
2716,Hong Zhixian,1.0,5.0,0.03013863773357444,5.0,0.0006607201850016519,0.0,2019.0,2019.0,Transient,1.0,1.0
2717,Hongo Jo-Anne,1.0,0.0,0.03013863773357444,0.0,0.0005506001541680432,0.0,2018.0,2018.0,Transient,1.0,1.0
2718,Honjo Tasuku,4.0,36.0,0.12055455093429776,9.0,0.0009910802775024777,1.6251193977647088e-06,2003.0,2020.0,Terminator,18.0,0.2222222222222222
2719,Honma Daisuke,1.0,0.0,0.03013863773357444,0.0,,,2019.0,2019.0,Transient,1.0,1.0
2720,Honma Masashi,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2022.0,2022.0,Transient,1.0,1.0
2721,Honma Teruki,1.0,0.0,0.03013863773357444,0.0,0.0007708402158352604,0.0,2022.0,2022.0,Transient,1.0,1.0
2722,Hoos Axel,1.0,3.0,0.03013863773357444,3.0,,,2014.0,2014.0,Transient,1.0,1.0
2723,Hopson Christopher B,2.0,4.0,0.06027727546714888,2.0,0.00033036009250082593,0.0,2018.0,2018.0,Transient,1.0,2.0
2724,Hopson Kristen,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2019.0,2019.0,Transient,1.0,1.0
2725,Horacio G Nastri,2.0,0.0,0.06027727546714888,0.0,0.0022024006166721727,0.0012404079435931628,2017.0,2021.0,Terminator,5.0,0.4
2726,Horak Ivan D,2.0,0.0,0.06027727546714888,0.0,0.0006607201850016519,0.0,2016.0,2021.0,Terminator,6.0,0.3333333333333333
2727,Horak Ivan David,1.0,0.0,0.03013863773357444,0.0,0.00011012003083360864,0.0,2022.0,2022.0,Transient,1.0,1.0
2728,Hori Yuji,5.0,0.0,0.1506931886678722,0.0,0.0015416804316705209,1.6632352045353101e-07,2019.0,2022.0,Terminator,4.0,1.25
2729,Hori Yusaku,3.0,17.0,0.09041591320072333,5.666666666666667,0.0006607201850016519,1.6008638843652356e-06,2016.0,2016.0,Transient,1.0,3.0
2730,Horie Kengo,1.0,0.0,0.03013863773357444,0.0,0.0006607201850016519,0.0,2019.0,2019.0,Transient,1.0,1.0
2731,Horii Takayuki,2.0,0.0,0.06027727546714888,0.0,0.00022024006166721728,2.4255513399473267e-08,2020.0,2021.0,Terminator,2.0,1.0
2732,Horitani Emi,2.0,0.0,0.06027727546714888,0.0,0.00044048012333443455,0.0,2022.0,2022.0,Transient,1.0,2.0
2733,Horowitz Amir,1.0,0.0,0.03013863773357444,0.0,0.00011012003083360864,0.0,2022.0,2022.0,Transient,1.0,1.0
2734,Horton Brendan,1.0,0.0,0.03013863773357444,0.0,0.00044048012333443455,0.0,2022.0,2022.0,Transient,1.0,1.0
2735,Horton Helen,2.0,0.0,0.06027727546714888,0.0,0.0005506001541680432,4.8511026798946535e-08,2020.0,2020.0,Transient,1.0,2.0
2736,Horton Hugh,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2020.0,2020.0,Transient,1.0,1.0
2737,Horwitz Nathaniel,1.0,0.0,0.03013863773357444,0.0,0.00011012003083360864,0.0,2017.0,2017.0,Transient,1.0,1.0
2738,Hoshino Tatsuo,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2018.0,2018.0,Transient,1.0,1.0
2739,Hoshino Tomoaki,1.0,0.0,0.03013863773357444,0.0,0.0009910802775024777,0.0,2022.0,2022.0,Transient,1.0,1.0
2740,Hosking Martin,4.0,0.0,0.12055455093429776,0.0,0.0008809602466688691,0.00014853752998992103,2021.0,2023.0,Continuant,3.0,1.3333333333333333
2741,Hoskun Martin,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2021.0,2021.0,Transient,1.0,1.0
2742,Hosseinian Ehrensberger Sahar,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2021.0,2021.0,Transient,1.0,1.0
2743,Hotson Andrew,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2019.0,2019.0,Transient,1.0,1.0
2744,Hou Fangqiang,1.0,1.0,0.03013863773357444,1.0,0.0007708402158352604,0.0,2021.0,2021.0,Transient,1.0,1.0
2745,Hou Fengyi,1.0,0.0,0.03013863773357444,0.0,0.0009910802775024777,0.0,2023.0,2023.0,Newcomer,1.0,1.0
2746,Hou Huanhuan,1.0,0.0,0.03013863773357444,0.0,0.00044048012333443455,0.0,2020.0,2020.0,Transient,1.0,1.0
2747,Hou Jeannie,1.0,0.0,0.03013863773357444,0.0,0.00044048012333443455,0.0,2018.0,2018.0,Transient,1.0,1.0
2748,Hou Qiong,1.0,0.0,0.03013863773357444,0.0,0.0006607201850016519,0.0,2021.0,2021.0,Transient,1.0,1.0
2749,Hou Sheng,3.0,3.0,0.09041591320072333,1.0,0.0014315604008369124,7.5648096810866335e-06,2009.0,2020.0,Terminator,12.0,0.25
2750,Hou Xiaolin,1.0,3.0,0.03013863773357444,3.0,0.0007708402158352604,0.0,2018.0,2018.0,Transient,1.0,1.0
2751,Hou Xiaoshuang,1.0,0.0,0.03013863773357444,0.0,0.0006607201850016519,0.0,2023.0,2023.0,Newcomer,1.0,1.0
2752,Houk Brett E,6.0,0.0,0.18083182640144665,0.0,0.001872040524171347,0.0006034973863067279,2022.0,2022.0,Transient,1.0,6.0
2753,Hout David,1.0,0.0,0.03013863773357444,0.0,0.0006607201850016519,0.0,2023.0,2023.0,Newcomer,1.0,1.0
2754,Houthuys Erica Joke Katelijne Heleen,2.0,0.0,0.06027727546714888,0.0,0.0007708402158352604,0.0,2019.0,2020.0,Terminator,2.0,1.0
2755,Howard Danny Roland,3.0,0.0,0.09041591320072333,0.0,0.001872040524171347,1.8221954441354297e-06,2016.0,2017.0,Terminator,2.0,1.5
2756,Hoyle Paul E,1.0,0.0,0.03013863773357444,0.0,0.0005506001541680432,0.0,2023.0,2023.0,Newcomer,1.0,1.0
2757,Hoyos David,1.0,0.0,0.03013863773357444,0.0,0.0011012003083360864,0.0,2022.0,2022.0,Transient,1.0,1.0
2758,Hsiao Huey-Wen,2.0,0.0,0.06027727546714888,0.0,0.00033036009250082593,1.2127756699736634e-08,2021.0,2022.0,Terminator,2.0,1.0
2759,Hsiao Wen-Luan Wendy,1.0,0.0,0.03013863773357444,0.0,0.00044048012333443455,0.0,2018.0,2018.0,Transient,1.0,1.0
2760,Hsieh Chia-Hung,2.0,1.0,0.06027727546714888,0.5,0.0005506001541680432,0.0,2018.0,2018.0,Transient,1.0,2.0
2761,Hsieh Hsin-Ta,1.0,0.0,0.03013863773357444,0.0,0.0006607201850016519,0.0,2018.0,2018.0,Transient,1.0,1.0
2762,Hsu Ching-Hsuan,1.0,0.0,0.03013863773357444,0.0,0.0006607201850016519,0.0,2018.0,2018.0,Transient,1.0,1.0
2763,Hsu Ssucheng Jeff,3.0,31.0,0.09041591320072333,10.333333333333334,0.0009910802775024777,6.548988617857782e-07,2016.0,2021.0,Terminator,6.0,0.5
2764,Hu Anbin,1.0,1.0,0.03013863773357444,1.0,0.00022024006166721728,0.0,2018.0,2018.0,Transient,1.0,1.0
2765,Hu Biao,1.0,0.0,0.03013863773357444,0.0,0.00044048012333443455,0.0,2022.0,2022.0,Transient,1.0,1.0
2766,Hu Bin,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2022.0,2022.0,Transient,1.0,1.0
2767,Hu Bo,2.0,0.0,0.06027727546714888,0.0,0.0008809602466688691,0.0,2022.0,2022.0,Transient,1.0,2.0
2768,Hu Changyun,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2023.0,2023.0,Newcomer,1.0,1.0
2769,Hu Chaohong,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2022.0,2022.0,Transient,1.0,1.0
2770,Hu Chenxi,1.0,0.0,0.03013863773357444,0.0,0.0007708402158352604,0.0,2022.0,2022.0,Transient,1.0,1.0
2771,Hu Chupeng,1.0,0.0,0.03013863773357444,0.0,0.00044048012333443455,0.0,2022.0,2022.0,Transient,1.0,1.0
2772,Hu Dong,1.0,0.0,0.03013863773357444,0.0,0.0005506001541680432,0.0,2021.0,2021.0,Transient,1.0,1.0
2773,Hu Fei,1.0,0.0,0.03013863773357444,0.0,0.00044048012333443455,0.0,2021.0,2021.0,Transient,1.0,1.0
2774,Hu Hai,4.0,36.0,0.12055455093429776,9.0,0.0011012003083360864,5.821323215873584e-07,2017.0,2020.0,Terminator,4.0,1.0
2775,Hu Haiyan,1.0,5.0,0.03013863773357444,5.0,,,2019.0,2019.0,Transient,1.0,1.0
2776,Hu Han,1.0,0.0,0.03013863773357444,0.0,0.00011012003083360864,0.0,2020.0,2020.0,Transient,1.0,1.0
2777,Hu Hong,1.0,1.0,0.03013863773357444,1.0,0.0007708402158352604,0.0,2022.0,2022.0,Transient,1.0,1.0
2778,Hu Hongqun,1.0,2.0,0.03013863773357444,2.0,0.0005506001541680432,0.0,2020.0,2020.0,Transient,1.0,1.0
2779,Hu Hua-Jing,3.0,5.0,0.09041591320072333,1.6666666666666667,0.0007708402158352604,8.311823642535966e-05,2018.0,2018.0,Transient,1.0,3.0
2780,Hu Jiangjiang,1.0,2.0,0.03013863773357444,2.0,0.0007708402158352604,0.0,2020.0,2020.0,Transient,1.0,1.0
2781,Hu Jie,2.0,0.0,0.06027727546714888,0.0,0.0008809602466688691,0.0,2021.0,2023.0,Continuant,3.0,0.6666666666666666
2782,Hu Jing,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2023.0,2023.0,Newcomer,1.0,1.0
2783,Hu Junbo,1.0,1.0,0.03013863773357444,1.0,0.00033036009250082593,0.0,2022.0,2022.0,Transient,1.0,1.0
2784,Hu Kua,1.0,0.0,0.03013863773357444,0.0,0.0005506001541680432,0.0,2020.0,2020.0,Transient,1.0,1.0
2785,Hu Lihong,1.0,0.0,0.03013863773357444,0.0,0.0008809602466688691,0.0,2020.0,2020.0,Transient,1.0,1.0
2786,Hu Lingyue,1.0,0.0,0.03013863773357444,0.0,0.0007708402158352604,0.0,2019.0,2019.0,Transient,1.0,1.0
2787,Hu Meiduo,1.0,0.0,0.03013863773357444,0.0,0.00044048012333443455,0.0,2019.0,2019.0,Transient,1.0,1.0
2788,Hu Mengjie,1.0,2.0,0.03013863773357444,2.0,0.00033036009250082593,0.0,2020.0,2020.0,Transient,1.0,1.0
2789,Hu Miao,1.0,0.0,0.03013863773357444,0.0,0.00044048012333443455,0.0,2022.0,2022.0,Transient,1.0,1.0
2790,Hu Min,2.0,2.0,0.06027727546714888,1.0,0.0005506001541680432,4.365992411905188e-07,2020.0,2020.0,Transient,1.0,2.0
2791,Hu Nan,2.0,0.0,0.06027727546714888,0.0,0.0014315604008369124,0.0003775370660628014,2017.0,2022.0,Terminator,6.0,0.3333333333333333
2792,Hu Peisheng,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2021.0,2021.0,Transient,1.0,1.0
2793,Hu Ping,1.0,0.0,0.03013863773357444,0.0,0.0005506001541680432,0.0,2021.0,2021.0,Transient,1.0,1.0
2794,Hu Pinliang,4.0,54.0,0.12055455093429776,13.5,0.0013214403700033037,3.2340684532631016e-08,2015.0,2020.0,Terminator,6.0,0.6666666666666666
2795,Hu Qingsong,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2023.0,2023.0,Newcomer,1.0,1.0
2796,Hu Qingyan,1.0,0.0,0.03013863773357444,0.0,0.00011012003083360864,0.0,2018.0,2018.0,Transient,1.0,1.0
2797,Hu Qiyue,1.0,5.0,0.03013863773357444,5.0,0.00044048012333443455,0.0,2019.0,2019.0,Transient,1.0,1.0
2798,Hu Quanyin,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2022.0,2022.0,Transient,1.0,1.0
2799,Hu Shaoping,1.0,31.0,0.03013863773357444,31.0,0.0009910802775024777,0.0,2016.0,2016.0,Transient,1.0,1.0
2800,Hu Siyi,4.0,51.0,0.12055455093429776,12.75,0.0005506001541680432,0.0,2015.0,2019.0,Terminator,5.0,0.8
2801,Hu Tao,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2022.0,2022.0,Transient,1.0,1.0
2802,Hu Wenhao,1.0,0.0,0.03013863773357444,0.0,0.0007708402158352604,0.0,2022.0,2022.0,Transient,1.0,1.0
2803,Hu Xiangjing,2.0,3.0,0.06027727546714888,1.5,0.0008809602466688691,0.0,2021.0,2021.0,Transient,1.0,2.0
2804,Hu Xianyu,1.0,1.0,0.03013863773357444,1.0,0.001211320339169695,0.0,2020.0,2020.0,Transient,1.0,1.0
2805,Hu Xun,2.0,0.0,0.06027727546714888,0.0,0.00033036009250082593,0.0,2020.0,2020.0,Transient,1.0,2.0
2806,Hu Yifeng,1.0,0.0,0.03013863773357444,0.0,0.0005506001541680432,0.0,2021.0,2021.0,Transient,1.0,1.0
2807,Hu Ying,4.0,11.0,0.12055455093429776,2.75,0.002092280585838564,0.002191635414869271,2019.0,2021.0,Terminator,3.0,1.3333333333333333
2808,Hu Yingying,1.0,0.0,0.03013863773357444,0.0,0.0005506001541680432,0.0,2021.0,2021.0,Transient,1.0,1.0
2809,Hu Yiqiao,3.0,1.0,0.09041591320072333,0.3333333333333333,0.0007708402158352604,1.091498102976297e-07,2021.0,2023.0,Continuant,3.0,1.0
2810,Hu Yong,2.0,0.0,0.06027727546714888,0.0,0.00033036009250082593,0.0,2020.0,2020.0,Transient,1.0,2.0
2811,Hu Yue,1.0,0.0,0.03013863773357444,0.0,0.0006607201850016519,0.0,2022.0,2022.0,Transient,1.0,1.0
2812,Hu Yuhao,1.0,0.0,0.03013863773357444,0.0,0.0011012003083360864,0.0,2022.0,2022.0,Transient,1.0,1.0
2813,Hu Yun,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2021.0,2021.0,Transient,1.0,1.0
2814,Hu Yuxiang,2.0,0.0,0.06027727546714888,0.0,0.00011012003083360864,0.0,2021.0,2022.0,Terminator,2.0,1.0
2815,Hu Zhiyi,1.0,0.0,0.03013863773357444,0.0,0.0005506001541680432,0.0,2021.0,2021.0,Transient,1.0,1.0
2816,Hu Zhiyuan,3.0,6.0,0.09041591320072333,2.0,0.00033036009250082593,7.560443526615818e-05,2017.0,2018.0,Terminator,2.0,1.5
2817,Hu Zhuowei,1.0,1.0,0.03013863773357444,1.0,0.00044048012333443455,0.0,2019.0,2019.0,Transient,1.0,1.0
2818,Hua Fang,2.0,1.0,0.06027727546714888,0.5,0.0011012003083360864,0.00045289894619496485,2019.0,2022.0,Terminator,4.0,0.5
2819,Hua Yaping,1.0,0.0,0.03013863773357444,0.0,0.0005506001541680432,0.0,2021.0,2021.0,Transient,1.0,1.0
2820,Hua Zichun,2.0,0.0,0.06027727546714888,0.0,0.00022024006166721728,0.0,2022.0,2022.0,Transient,1.0,2.0
2821,Huai Qingru,1.0,0.0,0.03013863773357444,0.0,0.0005506001541680432,0.0,2021.0,2021.0,Transient,1.0,1.0
2822,Huang Baochuan,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2017.0,2017.0,Transient,1.0,1.0
2823,Huang Bo,1.0,1.0,0.03013863773357444,1.0,0.00011012003083360864,0.0,2010.0,2010.0,Transient,1.0,1.0
2824,Huang Cai Gu,1.0,0.0,0.03013863773357444,0.0,0.00011012003083360864,0.0,2021.0,2021.0,Transient,1.0,1.0
2825,Huang Changsheng,1.0,1.0,0.03013863773357444,1.0,0.00033036009250082593,0.0,2022.0,2022.0,Transient,1.0,1.0
2826,Huang Chao,1.0,0.0,0.03013863773357444,0.0,0.0005506001541680432,0.0,2021.0,2021.0,Transient,1.0,1.0
2827,Huang Chen,2.0,2.0,0.06027727546714888,1.0,0.0015416804316705209,0.0014281888844743854,2018.0,2021.0,Terminator,4.0,0.5
2828,Huang Chenghao,1.0,1.0,0.03013863773357444,1.0,0.0006607201850016519,0.0,2019.0,2019.0,Transient,1.0,1.0
2829,Huang Ching-Yu,1.0,0.0,0.03013863773357444,0.0,0.00011012003083360864,0.0,2017.0,2017.0,Transient,1.0,1.0
2830,Huang Christine Shaoyu,1.0,0.0,0.03013863773357444,0.0,0.0009910802775024777,0.0,2020.0,2020.0,Transient,1.0,1.0
2831,Huang Chung-Jr,1.0,0.0,0.03013863773357444,0.0,0.0007708402158352604,0.0,2022.0,2022.0,Transient,1.0,1.0
2832,Huang Dandan,2.0,0.0,0.06027727546714888,0.0,0.0008809602466688691,0.0,2020.0,2020.0,Transient,1.0,2.0
2833,Huang Di,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2020.0,2020.0,Transient,1.0,1.0
2834,Huang Dong,2.0,1.0,0.06027727546714888,0.5,0.001211320339169695,1.482496978975952e-05,2020.0,2020.0,Transient,1.0,2.0
2835,Huang Eric Yi-Chun,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2021.0,2021.0,Transient,1.0,1.0
2836,Huang Fangfang,1.0,0.0,0.03013863773357444,0.0,0.00044048012333443455,0.0,2021.0,2021.0,Transient,1.0,1.0
2837,Huang Gang,2.0,1.0,0.06027727546714888,0.5,0.00044048012333443455,0.0,2017.0,2018.0,Terminator,2.0,1.0
2838,Huang Guofeng,2.0,1.0,0.06027727546714888,0.5,0.0006607201850016519,0.0,2018.0,2018.0,Transient,1.0,2.0
2839,Huang Guojia,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2021.0,2021.0,Transient,1.0,1.0
2840,Huang Haibin,2.0,1.0,0.06027727546714888,0.5,0.0011012003083360864,0.0007502257662235835,2019.0,2023.0,Continuant,5.0,0.4
2841,Huang Haiyu,1.0,0.0,0.03013863773357444,0.0,0.0007708402158352604,0.0,2019.0,2019.0,Transient,1.0,1.0
2842,Huang Hao,1.0,0.0,0.03013863773357444,0.0,0.0005506001541680432,0.0,2020.0,2020.0,Transient,1.0,1.0
2843,Huang Hao-Min,11.0,7.0,0.33152501506931886,0.6363636363636364,0.0022024006166721727,0.0007039232226492367,2018.0,2022.0,Terminator,5.0,2.2
2844,Huang He,1.0,13.0,0.03013863773357444,13.0,0.0006607201850016519,0.0,2018.0,2018.0,Transient,1.0,1.0
2845,Huang Hector Han-Li,1.0,0.0,0.03013863773357444,0.0,0.001872040524171347,0.0,2023.0,2023.0,Newcomer,1.0,1.0
2846,Huang Hua,2.0,0.0,0.06027727546714888,0.0,0.0007708402158352604,7.560443526615818e-05,2020.0,2021.0,Terminator,2.0,1.0
2847,Huang Hui-Qiang,1.0,0.0,0.03013863773357444,0.0,0.0005506001541680432,0.0,2020.0,2020.0,Transient,1.0,1.0
2848,Huang Jane,2.0,0.0,0.06027727546714888,0.0,0.00044048012333443455,0.0,2018.0,2023.0,Continuant,6.0,0.3333333333333333
2849,Huang Jiahao,1.0,0.0,0.03013863773357444,0.0,0.0006607201850016519,0.0,2020.0,2020.0,Transient,1.0,1.0
2850,Huang Jian,1.0,0.0,0.03013863773357444,0.0,0.0006607201850016519,0.0,2021.0,2021.0,Transient,1.0,1.0
2851,Huang Jiandong,2.0,0.0,0.06027727546714888,0.0,0.00044048012333443455,0.0,2021.0,2021.0,Transient,1.0,2.0
2852,Huang Jianping,1.0,0.0,0.03013863773357444,0.0,,,2022.0,2022.0,Transient,1.0,1.0
2853,Huang Jianqiang,1.0,0.0,0.03013863773357444,0.0,0.0005506001541680432,0.0,2022.0,2022.0,Transient,1.0,1.0
2854,Huang Jiaqi,2.0,8.0,0.06027727546714888,4.0,0.0008809602466688691,0.0003889782200893688,2015.0,2016.0,Terminator,2.0,1.0
2855,Huang Jiawen,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2022.0,2022.0,Transient,1.0,1.0
