,Application Year,Lens ID,Applicant
979,2022,191-053-246-862-66X,Jiangsu Yifengrong Biotechnology Co. Ltd.
980,2019,166-209-771-953-49X,University Of Lausanne
981,2017,163-812-612-157-16X,Madison Vaccines Inc.
982,2021,116-617-579-678-087,Cspc Zhongqi Pharmaceutical Technology Shijiazhuang Co. Ltd.
983,2022,136-729-632-950-863,University Of Zhongshan
984,2022,157-575-350-521-529,Chugai Pharmaceutical Co. Ltd.
985,2019,161-086-234-862-403,Omniseq Inc.
986,2020,087-010-644-677-128,Rottapharm Biotech Srl
987,2022,028-261-464-725-109,G1 Therapeutics Inc.
988,2022,135-387-526-790-858,"Cancer Hospital, Chinese Academy Of Medical Sciences"
989,2022,140-690-443-194-631,Novartis Ag
990,2018,073-743-978-724-326,Health Research Inc.
991,2021,075-552-773-640-082,Bristol Myers Squibb Co.
992,2016,177-394-172-303-248,Women & Infants Hospital Of Rhode Island
993,2020,120-453-325-847-369,Biomed Valley Discoveries Inc.
994,2020,120-453-325-847-369,Johns Hopkins University
995,2022,111-142-648-103-247,Sparx Bioscience Ltd.
996,2020,114-169-710-038-570,Origimed Tech Shanghai Co. Ltd.
997,2020,061-953-542-885-575,Université Sorbonne
998,2020,061-953-542-885-575,Vanderbilt University
999,2020,061-953-542-885-575,Inserm
1000,2020,061-953-542-885-575,Hôpitaux De Paris - Assistance Publique
1001,2023,114-070-495-482-205,Korea Advanced Institute Of Science And Technology
1002,2019,051-727-602-069-492,Jeonnam Bioindustry Foundation
1003,2017,110-055-330-404-005,Johns Hopkins University
1004,2021,143-166-218-363-847,"Research & Business Foundation, Sungkyunkwan University"
1005,2017,020-887-917-124-239,Korea Advanced Institute Of Science And Technology
1006,2016,084-735-153-887-955,Bristol Myers Squibb Co.
1007,2014,150-129-841-458-355,Ono Pharmaceutical Co.
1008,2014,150-129-841-458-355,Medarex Llc
1009,2016,097-326-980-988-033,University Of Iowa Foundation
1010,2016,097-326-980-988-033,University Of Iowa Research Foundation
1011,2020,111-922-067-638-320,Merck Sharp & Dohme Corp.
1012,2021,131-738-650-186-179,Astellas Pharma Inc.
1013,2020,021-745-829-970-649,"Kovarik, Joseph E."
1014,2021,057-727-705-452-097,"Kovarik, Joseph E."
1015,2021,170-813-021-143-557,University Of Macau
1016,2021,170-813-021-143-557,University Of Southern Science & Technology
1017,2022,148-473-807-910-193,Shanghai Paisiwei New Biomedical Technology Co. Ltd.
1018,2017,177-756-479-065-956,University Of Tohoku
1019,2021,100-487-126-571-486,Fudan University
1020,2019,112-923-145-547-012,Advanced Accelerator Applications Sa
1021,2021,171-750-611-517-329,Carna Biosciences Inc.
1022,2019,091-131-306-636-329,Advanced Accelerator Applications Sa
1023,2021,077-996-349-868-619,Bristol Myers Squibb Co.
1024,2022,119-276-275-229-246,Novartis Ag
1025,2021,165-696-666-506-270,Worldwide Innovative Network
1026,2016,186-113-807-893-222,Innovative Cellular Therapeutics Co. Ltd.
1027,2021,041-940-493-336-271,University Of Tohoku
1028,2018,053-386-290-485-816,Compugen Ltd.
1029,2021,170-282-014-960-030,University Of Southern California
1030,2023,111-556-912-168-593,"Zhongshan Hospital, Fudan University"
1031,2021,139-072-237-097-802,"Research & Business Foundation, Sungkyunkwan University"
1032,2020,093-335-351-164-145,Tilt Biotherapeutics Oy
1033,2023,161-110-222-549-978,Bristol Myers Squibb Co.
1034,2019,035-054-090-610-690,National University Of Kaohsiung
1035,2019,169-878-612-883-858,Crystalgenomics Inc.
1036,2021,061-153-045-512-887,Memorial Sloan Kettering Cancer Center
1037,2020,155-103-746-252-654,Origimed Tech Shanghai Co. Ltd.
1038,2023,167-225-192-905-318,Moonshot Pharma Llc
1039,2019,199-812-731-953-958,Samsung Life Public Welfare Foundation
1040,2017,060-790-360-792-060,Yale University
1041,2016,140-068-963-648-668,Peking Union Medical College Hospital
1042,2020,153-232-281-807-952,Origimed Tech Shanghai Co. Ltd.
1043,2019,136-824-011-350-756,Xiamen University
1044,2021,007-915-356-174-811,Bio-Thera Solutions Ltd.
1045,2019,125-234-251-978-48X,Astellas Pharma Inc.
1046,2020,145-318-119-750-334,University Of Jilin
1047,2023,029-022-605-615-762,Brown University
1048,2020,130-522-914-614-837,Innobation Bio Co. Ltd.
1049,2021,038-854-118-654-738,"Bakacs, Tibor"
1050,2019,155-004-829-555-956,Inserm
1051,2019,155-004-829-555-956,Centre Hospitalier Universitaire De Toulouse
1052,2019,155-004-829-555-956,University Of Toulouse 3 Paul Sabatier
1053,2014,024-267-476-313-090,Bristol Myers Squibb Co.
1054,2021,174-484-525-995-527,University Of Henan Chinese Medicine
1055,2020,034-321-618-502-557,Inserm
1056,2020,034-321-618-502-557,Centre Hospitalier Universitaire De Toulouse
1057,2020,034-321-618-502-557,University Of Toulouse 3 Paul Sabatier
1058,2021,030-565-304-900-080,Shanghai Institute Of Immunology
1059,2015,005-840-162-236-336,Medimmune Ltd.
1060,2022,129-995-185-030-851,"Sun Yat-Sen Memorial Hospital, Sun Yat-Sen University"
1061,2018,144-833-882-921-504,Bristol Myers Squibb Co.
1062,2022,035-766-426-360-847,"Yijishan Hospital, Wannan Medical College"
1063,2009,146-427-508-627-136,"Jure-Kunkel, Maria"
1064,2009,146-427-508-627-136,Bristol Myers Squibb Co.
1065,2020,020-783-787-296-887,Institut Gustave Roussy
1066,2021,184-105-906-261-914,University Of Shandong
1067,2020,131-502-556-026-637,Innobation Bio Co. Ltd.
1068,2015,191-016-216-896-102,Hyogo College Of Medicine
1069,2016,010-705-678-251-915,Multivir Inc.
1070,2017,065-218-025-907-603,X4 Pharmaceuticals Inc.
1071,2018,030-536-642-774-387,Ono Pharmaceutical Co.
1072,2018,030-536-642-774-387,Nat Cancer Ct
1073,2019,119-186-863-188-832,Bristol Myers Squibb Co.
1074,2020,103-458-830-381-439,Regeneron Pharmaceuticals Inc.
1075,2021,066-019-047-186-493,Verastem Inc.
1076,2022,007-577-309-298-88X,Seed Health Inc.
1077,2023,046-449-180-471-589,Amgen Inc.
1078,2023,181-109-199-672-624,"The Second Affiliated Hospital, Army Medical University Of Pla"
1079,2019,103-391-881-524-563,Anhui Anke Biotechnology Group Co. Ltd.
1080,2021,083-734-731-798-145,"Zhongshan Hospital, Fudan University"
1081,2020,164-157-263-118-178,University Of Paris Descartes
1082,2020,164-157-263-118-178,Fond Imagine
1083,2020,164-157-263-118-178,University Of Paris Sud
1084,2020,164-157-263-118-178,Inserm
1085,2020,164-157-263-118-178,Centre National De La Recherche Scientifique (Cnrs)
1086,2020,164-157-263-118-178,Assistance Publique-Hôpitaux De Paris (Aphp)
1087,2017,043-259-223-285-457,X4 Pharmaceuticals Inc.
1088,2019,179-703-714-376-038,University Of Texas
1089,2021,080-207-069-107-851,Industry-Academic Cooperation Foundation Of Yeungnam University
1090,2019,055-844-367-760-942,Biovaxys Inc.
1091,2022,027-596-720-660-059,"Berd, David"
1092,2022,027-596-720-660-059,Biovaxys Inc.
1093,2020,160-750-402-553-981,Genentech Inc.
1094,2016,035-608-250-271-491,Medimmune Ltd.
1095,2017,012-595-353-056-896,Mayo Foundation
1096,2015,100-074-816-917-418,Theravalues Corp.
1097,2019,085-183-204-249-309,Tron Translationale Onkologie An Der Universität Der Johannes Gutenberg Universität Mainz Gemeinnützige Gmbh
1098,2019,085-183-204-249-309,Biontech Rna Pharmaceuticals Gmbh
1099,2020,001-976-473-147-59X,Multivir Inc.
1100,2021,110-514-040-668-299,7 Hills Pharma Llc
1101,2021,110-514-040-668-299,Texas Heart Institute
1102,2021,073-263-466-292-686,Pamgene Bv
1103,2018,028-717-177-985-402,Galera Labs Llc
1104,2021,040-634-212-337-445,Novartis Ag
1105,2017,184-711-281-329-009,Multivir Inc.
1106,2019,019-331-652-130-780,Merck Sharp & Dohme Corp.
1107,2015,197-260-267-212-754,Apellis Pharmaceuticals Inc.
1108,2016,155-935-332-483-016,Brigham & Women'S Hospital Inc.
1109,2020,183-058-496-883-239,"Mackay Medical Foundation, The Presbyterian Church In Taiwan, Mackay Memorial Hospital"
1110,2022,196-567-752-315-386,Memorial Sloan Kettering Cancer Center
1111,2022,196-567-752-315-386,Memorial Hospital For Cancer And Allied Diseases
1112,2022,196-567-752-315-386,"Cleveland Clinic Foundation, An Ohio Non-Profit Corporation"
1113,2022,196-567-752-315-386,Sloan Kettering Institute For Cancer Research
1114,2020,157-721-379-907-524,Genentech Inc.
1115,2019,009-323-925-974-530,Xencor Inc.
1116,2020,072-243-877-553-890,Shanghai Yingming Biotechnology Co. Ltd.
1117,2017,085-753-012-966-209,Immunomedics Inc.
1118,2020,139-789-459-589-595,Johann Wolfgang Goethe University Frankfurt
1119,2020,139-789-459-589-595,Chemotherapeutisches Forschungsinstitut Georg Speyer Haus
1120,2019,187-635-507-400-793,Isr Immune System Regulation Holding Ab (Publ)
1121,2021,030-533-442-149-25X,Immunicon Inc.
1122,2021,095-673-930-666-224,Georgia Tech Research Institute
1123,2019,017-591-123-401-010,Ecs Progastrin Sa
1124,2018,105-259-847-065-564,Bristol Myers Squibb Co.
1125,2021,129-275-252-548-015,Origimed Tech Shanghai Co. Ltd.
1126,2021,129-275-252-548-015,Shanghai Zhiben Medical Testing Office Co. Ltd.
1127,2021,108-367-641-222-891,Jiangsu University
1128,2017,175-113-650-600-321,University Of Texas
1129,2019,015-604-123-576-774,National University Of Kaohsiung
1130,2017,197-978-266-543-247,Tyrnovo Ltd.
1131,2022,147-345-916-288-53X,Memorial Sloan Kettering Cancer Center
1132,2022,147-345-916-288-53X,Memorial Hospital For Cancer And Allied Diseases
1133,2022,147-345-916-288-53X,University Of New York State Research Foundation
1134,2022,147-345-916-288-53X,Sloan Kettering Institute For Cancer Research
1135,2015,149-043-667-541-889,Medimmune Ltd.
1136,2022,161-626-409-682-215,Brigham & Women'S Hospital Inc.
1137,2013,195-950-001-446-604,Bristol Myers Squibb Co.
1138,2019,033-819-648-321-687,"Chen, Huihui"
1139,2019,033-819-648-321-687,Aier Rimonci Vision Technology Incubation Limited
1140,2018,044-194-881-596-013,Beyondspring Pharmaceuticals Inc.
1141,2018,178-225-143-799-335,Pfizer
1142,2018,178-225-143-799-335,Provectus Pharmaceuticals Inc.
1143,2019,016-105-469-120-344,Hinova Pharmaceuticals Inc.
1144,2021,073-483-736-193-667,Beijing Kailai Tiancheng Medicine Technology Co. Ltd.
1145,2023,166-789-584-111-290,"Anhui Provincial Hospital, The First Affiliated Hospital Of Ustc"
1146,2019,045-162-419-448-918,"Yakult Honsha Co., Ltd."
1147,2019,045-162-419-448-918,National Cerebral & Cardiovascular Center
1148,2019,036-427-915-331-772,Harbour Biomed Therapeutics Ltd.
1149,2019,036-427-915-331-772,Sichuan Kelun Biotechnology Biopharmaceutical Co. Ltd.
1150,2017,029-934-845-168-721,"Hokkaido University, National University Corporation"
1151,2017,029-934-845-168-721,Fuso Pharmaceutical Industries Ltd.
1152,2014,179-087-888-031-447,"Morton, Donald"
1153,2014,179-087-888-031-447,"Lee, Delphine J."
1154,2014,179-087-888-031-447,"Leung, Anna M."
1155,2018,140-002-014-413-152,University Of Tsinghua
1156,2019,149-202-803-810-752,Bristol Myers Squibb Co.
1157,2021,036-278-601-829-854,Modernatx Inc.
1158,2022,120-828-080-011-763,Hope City
1159,2012,022-093-862-932-033,Us Health
1160,2012,022-093-862-932-033,Globeimmune Inc.
1161,2023,001-764-657-613-028,Bristol Myers Squibb Co.
1162,2015,008-268-045-621-66X,Cb Therapeutics Inc.
1163,2018,051-233-628-560-845,"Li, Xingguo"
1164,2017,168-215-188-805-805,Dana-Farber Cancer Institute Inc.
1165,2019,198-320-966-868-523,Transgene Sa
1166,2019,198-320-966-868-523,Bioinvent International Ab
1167,2018,034-886-257-107-858,Tragara Pharmaceuticals Inc.
1168,2022,078-163-774-063-395,Hangzhou Xingao Biotechnology Co. Ltd.
1169,2018,008-050-164-800-335,"Cui, Xiangju"
1170,2017,048-566-630-215-204,"Cothera Bioscience, Inc."
1171,2018,158-872-513-415-796,"Li, Xingguo"
1172,2017,125-609-270-506-259,Kymab Ltd
1173,2022,092-371-942-477-524,Sanofi Sa
1174,2020,092-111-087-636-473,Bristol Myers Squibb Co.
1175,2016,061-480-369-027-35X,Canbas Co. Ltd.
1176,2018,120-893-928-616-374,Ustav Organicke Chemie A Biochemie Av Cr V V I
1177,2018,120-893-928-616-374,Johns Hopkins University
1178,2017,095-719-394-708-902,Abbvie Biotherapeutics Inc.
1179,2021,145-023-154-506-208,Agendia N.V.
1180,2021,020-853-850-033-969,"Nanfang Hospital, Southern Medical University"
1181,2015,142-716-807-071-25X,Medimmune Ltd.
1182,2017,131-321-161-397-967,Shanghai Henlius Biotech Inc.
1183,2023,126-110-971-007-659,Guangzhou Xiling Biotechnology Co. Ltd.
1184,2020,161-731-577-801-345,Seoul National University Hospital
1185,2020,136-945-244-602-548,University Of China Pharma
1186,2022,079-927-936-685-087,University Of Maryland
1187,2022,079-927-936-685-087,Oncoc4 Inc.
1188,2017,145-173-746-748-917,Bristol Myers Squibb Co.
1189,2020,091-612-450-328-010,Nat Cancer Ct
1190,2020,091-612-450-328-010,Sumitomo Dainippon Pharma Co. Ltd.
1191,2019,053-189-138-663-064,Bostongene Corp.
1192,2020,172-088-711-704-167,Compugen Ltd.
1193,2023,096-054-010-299-963,Moon Peter S.
1194,2023,096-054-010-299-963,Polepally Akshanth R
1195,2023,096-054-010-299-963,Afar Daniel E. H
1196,2023,096-054-010-299-963,Trishula Therapeutics Inc.
1197,2023,096-054-010-299-963,Engelhardt Benjamin
1198,2022,008-274-484-059-657,Chugai Pharmaceutical Co. Ltd.
1199,2020,198-660-565-233-94X,Rakuten Medical Inc.
1200,2018,140-930-384-441-654,University Of Mainz
1201,2020,148-383-986-736-178,Duke University
1202,2020,148-383-986-736-178,Us Health
1203,2016,039-846-856-881-621,Canbas Co. Ltd.
1204,2022,129-929-632-242-27X,Qianjing Bio Tech Co. Ltd.
1205,2018,027-448-017-346-610,Qbiotics Pty Ltd.
1206,2022,162-607-173-939-020,Ajinomoto Kk
1207,2021,074-098-864-821-184,Zhang Hushan
1208,2023,070-184-379-215-629,Whitehead Institute For Biomedical Research
1209,2021,153-812-298-123-304,Bifido Co. Ltd.
1210,2023,158-356-748-915-532,Shanghai Huitian Jinze Biomedical Tech Co. Ltd.
1211,2020,171-552-461-388-543,"Sun Yat-Sen Memorial Hospital, Sun Yat-Sen University"
1212,2020,188-624-354-594-584,Illumina Inc.
1213,2017,107-172-570-339-876,Inserm
1214,2017,107-172-570-339-876,Université Paul Sabatier Toulouse Iii
1215,2017,107-172-570-339-876,Centre Hospitalier Universitaire De Toulouse
1216,2018,176-846-054-991-797,"Cui, Xiangju"
1217,2022,043-827-976-445-382,Eutilex Co. Ltd.
1218,2017,072-818-192-375-037,University Health Network
1219,2018,014-657-120-949-419,University Health Network
1220,2021,013-083-989-965-46X,Zeda Biomedical Co. Ltd.
1221,2018,170-963-273-730-540,Dana-Farber Cancer Institute Inc.
1222,2017,014-801-432-441-503,Wang Kevin
1223,2021,035-144-329-480-963,Asylia Diagnostics
1224,2017,004-006-541-448-565,Beyondspring Pharmaceuticals Inc.
1225,2021,177-531-577-862-417,Henan Cancer Hospital
1226,2017,023-221-863-425-746,Ensemble Group Holdings
1227,2020,159-415-018-704-382,H. Lee Moffitt Cancer Center And Research Institute Inc.
1228,2019,110-946-339-810-287,Sun Yat-Sen University
1229,2017,186-426-547-208-985,Isonmingxu Corporation
1230,2023,184-676-041-474-660,Bristol Myers Squibb Co.
1231,2022,125-460-093-994-446,"Agency For Science, Technology, And Research, Singapore"
1232,2002,078-948-040-487-607,Pfizer Productions Inc.
1233,2019,160-091-165-541-787,University Of Texas
1234,2020,041-899-999-688-459,Zeria Pharmaceutical Co. Ltd.
1235,2016,014-048-589-662-905,Bioxcel Therapeutics Inc.
1236,2021,144-388-697-087-578,Gyeongsang National University Hospital
1237,2021,108-275-158-655-736,University Of Huazhong Science And Technology
1238,2017,138-364-746-703-813,Millennium Pharmaceuticals Inc.
1239,2018,166-606-432-946-809,University Of Canberra
1240,2020,105-469-070-033-912,Vascular Biogenics Ltd.
1241,2020,182-847-076-707-939,Cue Biopharma Inc.
1242,2021,033-558-405-206-411,Altura Rachel A.
1243,2021,033-558-405-206-411,Wilson Douglas C.
1244,2021,033-558-405-206-411,Abraham Anson A.
1245,2021,033-558-405-206-411,Merck Sharp & Dohme Corp.
1246,2018,022-032-480-156-527,Shandong Boan Biotechnology Co. Ltd.
1247,2022,034-810-141-053-818,"Onkosxcel Therapeutics, Llc"
1248,2019,031-442-466-707-255,Bioxcel Therapeutics Inc.
1249,2019,075-943-405-556-467,Gnt Biotech & Medicals Corp.
1250,2019,028-482-929-045-357,Shanghai Jiabei Biomedical Tech Co. Ltd.
1251,2019,169-981-498-837-537,Origimed Tech Shanghai Co. Ltd.
1252,2020,154-155-804-306-787,Tayu Huaxia Biotech Medical Group Co. Ltd.
1253,2018,028-113-156-696-428,University Of Xian Peihua
1254,2022,198-159-723-227-715,New York University
1255,2019,138-554-594-054-945,"Hokkaido University, National University Corporation"
1256,2018,088-357-525-763-006,Shanghai Zhangjiang Biotechnology Co. Ltd.
1257,2022,029-788-831-247-848,Palleon Pharmaceuticals Inc.
1258,2022,195-212-075-216-436,Stichting Het Nederlands Kanker Inst Antoni Van Leeuwenhoek Ziekenhuis
1259,2021,036-186-192-198-933,Beyondspring Pharmaceuticals Inc.
1260,2022,169-132-405-199-067,Fondazione Per L'Istituto Oncologico Di Ricerca Ior
1261,2022,191-566-961-718-329,University Of Sichuan
1262,2020,025-498-724-506-006,Seagen Inc.
1263,2023,145-780-743-720-980,Triumvira Immunologics Usa Inc.
1264,2022,131-296-135-488-679,Weifang Peoples Hospital
1265,2020,005-188-333-334-842,Shanghai Celgen Biopharma Co. Ltd.
1266,2017,127-660-893-135-577,Igm Biosciences Inc.
1267,2021,167-313-041-968-397,Medytox Inc.
1268,2019,047-693-467-881-965,National University Of Pusan Industrial University Cooperative Foundation
1269,2021,040-150-446-677-804,Nanjing Sanhome Pharmaceutical Co. Ltd.
1270,2014,167-607-376-275-772,Dingfu Biotarget Co. Ltd.
1271,2020,104-419-539-397-560,University Of Jinan
1272,2020,104-419-539-397-560,Foshan Canton Biotechnology Co. Ltd.
1273,2020,028-269-837-341-869,Jiangsu Corning Jinrui Biopharmaceutical Co. Ltd.
1274,2019,057-999-035-264-343,Bristol Myers Squibb Co.
1275,2020,121-382-255-572-62X,Davis Elliot
1276,2020,038-658-750-776-626,Remegen Co. Ltd.
1277,2020,086-180-311-544-007,Eucure Beijing Biopharma Co. Ltd.
1278,2019,118-176-490-099-910,Beijing Dongfang Biotech Co. Ltd.
1279,2020,144-042-691-517-831,Ju Richard Chenglang
1280,2016,152-276-281-170-435,Shenzhen Jinjiahe Biological Medicine Co. Ltd.
1281,2020,044-479-556-147-790,University Of China Pharma
1282,2017,157-846-585-512-573,Guangzhou Dankang Pharmaceutical Biology Co. Ltd.
1283,2014,113-526-435-990-351,Shanghai Henlius Biotech Inc.
1284,2020,070-454-235-982-359,Eth Zurich
1285,2020,070-454-235-982-359,University Of Vienna Medical School
1286,2020,070-454-235-982-359,University Of Vienna
1287,2020,070-454-235-982-359,University Of Zurich
1288,2014,104-407-288-516-220,Pfizer Productions Inc.
1289,2021,057-023-768-686-709,Dalian Wanchunbulin Pharmaceutical Co. Ltd.
1290,2021,194-931-804-079-596,University Of Nagasaki
1291,2021,194-931-804-079-596,Tokyo Metropolitan Hospital Organization
1292,2023,003-089-202-924-694,Inserm
1293,2023,003-089-202-924-694,Institut Gustave Roussy
1294,2023,003-089-202-924-694,University Of Paris-Saclay
1295,2019,155-476-993-236-581,University Of Case Western Reserve
1296,2019,072-847-414-231-18X,Saxena Ashish
1297,2019,072-847-414-231-18X,Srivastava Satish
1298,2019,072-847-414-231-18X,Ramana Kota
1299,2016,055-425-159-952-046,Wuxi Origene Bio Tech Co. Ltd.
1300,2019,009-696-191-933-562,Zakrytoe Aktsionernoe Obshchestvo Biokad
1301,2020,165-464-418-356-450,Genentech Inc.
1302,2023,003-757-086-375-771,Eli Lilly And Company
1303,2021,012-589-630-456-847,Immunogen Inc.
1304,2021,012-589-630-456-847,Merck Sharp & Dohme Corp.
1305,2017,182-946-704-367-159,"Agency For Science, Technology, And Research, Singapore"
1306,2021,144-305-775-176-730,Zeda Biomedical Co. Ltd.
1307,2019,041-570-344-195-748,Duke University
1308,2016,101-070-421-617-881,Bristol Myers Squibb Co.
1309,2018,177-310-099-148-411,Shanghai Zhangjiang Biotechnology Co. Ltd.
1310,2022,104-413-305-572-373,Tumor Prevention And Treatment Center Of Zhongshan University Subsidiary Tumor Hospital Of Zhongshan University
1311,2020,019-247-622-837-783,University Of Massachusetts
1312,2021,053-963-590-059-306,Asan Foundation
1313,2021,053-963-590-059-306,Nat Cancer Ct
1314,2021,053-963-590-059-306,University Of Ulsan Foundation For Industrial Cooperation
1315,2018,048-564-458-278-430,"Hokkaido University, National University Corporation"
1316,2019,120-870-466-380-421,Zhaoke Guangzhou Tumour Medicament Co. Ltd.
1317,2014,085-715-224-925-962,Immodulon Therapeutics Ltd.
1318,2021,124-012-200-548-738,Compugen Ltd.
1319,2012,169-564-151-776-993,Pharmacia & Upjohn Company Llc
1320,2020,117-884-596-852-414,Northwestern University
1321,2020,085-572-937-173-080,Msd International Business Gmbh
1322,2020,085-572-937-173-080,Genmab As
1323,2021,198-432-326-682-022,"Changchun Institute Of Applied Chemistry, Chinese Academy Of Sciences"
1324,2022,187-983-834-626-221,Chugai Pharmaceutical Co. Ltd.
1325,2022,187-983-834-626-221,University Of Osaka
1326,2021,070-621-080-811-592,Jiangsu Cancer Hospital
1327,2021,154-387-752-947-509,Asan Foundation
1328,2021,154-387-752-947-509,Nat Cancer Ct
1329,2021,154-387-752-947-509,University Of Ulsan Foundation For Industrial Cooperation
1330,2021,138-584-714-065-006,Huabo Biopharm Co. Ltd.
1331,2021,138-584-714-065-006,Shanghai Huatuo Biological Pharmaceutical Co. Ltd.
1332,2021,092-744-703-791-371,Illumina Inc.
1333,2021,094-516-736-360-744,Bio-Thera Solutions Ltd.
1334,2017,010-571-234-960-234,Shanghai Institute Of Biological Sciences
1335,2016,110-299-018-992-78X,Bioxcel Corp.
1336,2022,136-864-163-930-932,Bexion Pharmaceuticals Inc.
1337,2022,199-328-106-299-773,University Of Texas
1338,2021,015-161-270-121-024,Medytox Inc.
1339,2020,043-543-565-128-206,University Of Chicago
1340,2023,115-829-317-787-302,Institut Curie
1341,2023,115-829-317-787-302,University Of Versailles Saint-Quentin-En-Yvelines
1342,2023,115-829-317-787-302,Inserm
1343,2017,178-545-456-372-685,Us Health
1344,2017,115-873-367-066-683,Seattle Genetics Inc.
1345,2017,115-873-367-066-683,Bristol Myers Squibb Co.
1346,2021,058-740-666-376-222,Guangdong Feipeng Pharmaceutical Co. Ltd.
1347,2019,006-156-871-991-364,Huabo Biopharm Co. Ltd.
1348,2017,158-748-037-273-695,Beijing Mabworks Biotech Co. Ltd.
1349,2016,103-018-679-167-739,Zhaoke Pharmaceutical (Hefei) Co. Ltd.
1350,2023,036-451-011-297-049,The Sixth Affiliated Hospital Sun Yat Sen University
1351,2018,047-354-653-053-913,Memorial Sloan Kettering Cancer Center
1352,2023,106-728-976-424-119,Sillajen Inc.
1353,2022,041-385-047-217-061,Adewoye Md Adeboye Henry
1354,2022,041-385-047-217-061,Compugen Ltd.
1355,2020,015-846-201-660-528,Genentech Inc.
1356,2016,003-296-610-894-81X,University Of North Carolina Chapel Hill
1357,2021,080-251-517-845-072,Bao Boat Biomedical Science And Technology Shanghai Limited Company
1358,2019,051-639-225-232-345,Novartis Ag
1359,2019,050-272-847-020-211,Akamara Therapeutics Inc.
1360,2022,158-967-052-323-988,Shanghai Lubright Medicine Technology Co. Ltd.
1361,2019,038-797-183-991-134,Chugai Pharmaceutical Co. Ltd.
1362,2019,146-141-950-983-017,Korea Advanced Institute Of Science And Technology
1363,2019,176-130-772-936-369,Beijing Dongfang Biotech Co. Ltd.
1364,2019,199-802-930-200-853,Wuxi Biologics (Shanghai) Co. Ltd.
1365,2019,199-802-930-200-853,Wuxi Biologics Ireland Ltd.
1366,2019,074-480-601-586-669,Chia Tai Tianqing Pharmaceutical Group Co. Ltd.
1367,2019,074-480-601-586-669,Nanjing Shunxin Pharmaceuticals Co. Ltd. Of Chiatai Tianqing Pharmaceutical Group
1368,2005,009-760-961-030-241,Pfizer Productions Inc.
1369,2021,193-261-957-245-739,University Of Texas
1370,2019,041-198-648-670-343,Merck Sharp & Dohme Corp.
1371,2022,081-605-796-630-040,Shanghai Science And Technology University
1372,2017,131-403-137-364-558,Idera Pharmaceuticals Inc.
1373,2022,079-135-002-441-681,Chugai Seiyaku Kabushiki Kaisha
1374,2022,079-135-002-441-681,Osaka University
1375,2019,161-117-479-425-585,Cytoimmune Therapeutics Inc.
1376,2020,185-686-162-159-777,University Of Keio
1377,2020,185-686-162-159-777,Jsr Corp.
1378,2021,073-377-488-583-287,Rosetta Exosome Co. Ltd.
1379,2019,114-834-086-391-553,Samsung Life Public Welfare Foundation
1380,2022,168-077-286-123-274,Oxford Biotherapeutics Ltd.
1381,2015,051-773-459-092-928,Advaxis Inc.
1382,2015,051-773-459-092-928,Us Health
1383,2017,197-153-809-058-20X,Microbio Co. Ltd.
1384,2023,031-501-028-692-580,"Cancer Hospital, Chinese Academy Of Medical Sciences"
1385,2021,043-441-349-091-050,Beyondspring Pharmaceuticals Inc.
1386,2018,121-831-384-229-95X,R Pharm Overseas Inc.
1387,2021,114-848-790-442-577,Chia Tai Tianqing Pharmaceutical Group Co. Ltd.
1388,2019,051-192-928-545-788,Kdac Therapeutics Inc.
1389,2021,003-626-970-576-662,Teon Therapeutics Inc.
1390,2020,014-113-097-365-080,Pfizer
1391,2020,014-113-097-365-080,Merck Patent Gmbh
1392,2020,014-113-097-365-080,Transgene Sa
1393,2023,185-592-460-605-424,"National Center For Nanoscience And Technology, China"
1394,2023,185-592-460-605-424,University Of Zhengzhou
1395,2019,077-369-678-247-642,Biodesix Inc.
1396,2021,002-089-369-505-938,Immodulon Therapeutics Ltd.
1397,2022,127-910-857-365-788,Xrad Therapeutics Inc.
1398,2020,139-050-410-226-528,Shanghai Junshi Bioscience Co Ltd
1399,2020,139-050-410-226-528,Junmeng Biosciences Co. Ltd.
1400,2019,064-929-223-406-951,Celgene Corp.
1401,2021,051-575-248-145-877,Affiliated Hospital Qingdao University
1402,2018,117-700-562-474-938,Genentech Inc.
1403,2018,117-700-562-474-938,Hoffmann La Roche
1404,2020,188-090-565-912-550,First Affiliated Hospital Of Guangxi Medical University
1405,2017,053-789-625-592-119,Ose Immunotherapeutics
1406,2020,166-156-251-171-543,National Institute Of Biological Sciences Beijing
1407,2022,151-000-609-953-510,Bright Peak Therapeutics Ag
1408,2022,166-608-879-573-593,Msd International Business Gmbh
1409,2022,166-608-879-573-593,Synthorx Inc.
1410,2022,047-336-249-823-948,University Of Kansas State
1411,2021,030-101-039-870-953,Oncosec Medical Inc.
1412,2023,042-095-282-130-629,Intra-Cellular Therapies Inc.
1413,2022,197-042-783-249-443,Astrazeneca Ab
1414,2020,020-715-833-075-483,Yeda Research And Development
1415,2020,020-715-833-075-483,Immunobrain Checkpoint Inc.
1416,2018,144-281-515-858-248,Teclison Ltd.
1417,2022,164-329-148-649-625,Iovance Biotherapeutics Inc.
1418,2022,164-329-148-649-625,Vogt Frederick G
1419,2016,099-812-951-732-502,University Of North Carolina Chapel Hill
1420,2021,125-114-416-741-880,Memorial Sloan Kettering Cancer Center
1421,2021,125-114-416-741-880,Fred Hutchinson Cancer Research Center
1422,2015,056-923-630-598-391,Immunid
